"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.068916292E0,-3.518944740E0,4.974245131E-1,5.728677511E-1,3.599802868E0
2.078911292E0,-3.545610905E0,5.642474294E-1,5.713553429E-1,3.635406274E0
2.088906292E0,-3.536875725E0,6.662704945E-1,5.314909220E-1,3.638116115E0
2.098901292E0,-3.516786337E0,7.547438741E-1,4.791081846E-1,3.628631851E0
2.108896292E0,-3.485302448E0,8.465403914E-1,4.132023454E-1,3.610360088E0
2.118891292E0,-3.442879915E0,9.634150863E-1,3.273113966E-1,3.590086836E0
2.128886292E0,-3.408487082E0,1.071003199E0,2.396823764E-1,3.580821090E0
2.138881292E0,-3.376140356E0,1.186232328E0,1.481583118E-1,3.581539016E0
2.148876292E0,-3.364060640E0,1.294002771E0,6.953262538E-2,3.605021768E0
2.158871292E0,-3.360803366E0,1.390251040E0,2.803130774E-3,3.637004960E0
2.168866292E0,-3.372972488E0,1.472725391E0,-5.122956634E-2,3.680827075E0
2.178862292E0,-3.399842501E0,1.538478851E0,-8.347404748E-2,3.732668499E0
2.188857292E0,-3.435937881E0,1.579033256E0,-1.002821103E-1,3.782733357E0
2.198852292E0,-3.473391294E0,1.589016199E0,-9.985201061E-2,3.820914811E0
2.208847292E0,-3.515214205E0,1.573376060E0,-8.154065907E-2,3.852128244E0
2.218842292E0,-3.553615808E0,1.533279538E0,-4.449582472E-2,3.870544062E0
2.228837292E0,-3.585618019E0,1.468224168E0,-1.996641047E-3,3.874576464E0
2.238832292E0,-3.601639032E0,1.381086349E0,5.076164380E-2,3.857691015E0
2.248827292E0,-3.592764378E0,1.281837463E0,1.029846221E-1,3.815975496E0
2.258822292E0,-3.552393436E0,1.167807579E0,1.537670940E-1,3.742581728E0
2.268817292E0,-3.473140955E0,1.044680595E0,2.017610371E-1,3.632461033E0
2.278812292E0,-3.348510742E0,9.080666304E-1,2.421675771E-1,3.477895101E0
2.288807292E0,-3.171845913E0,7.584208250E-1,2.747118175E-1,3.272808462E0
2.298802292E0,-2.955413818E0,6.025774479E-1,2.968621254E-1,3.030791570E0
2.308797292E0,-2.694319725E0,4.462396502E-1,3.022222221E-1,2.747694830E0
2.318792292E0,-2.410269976E0,2.992156148E-1,2.932537794E-1,2.446411478E0
2.328787292E0,-2.110197067E0,1.786119938E-1,2.715437114E-1,2.135080770E0
2.338782292E0,-1.800388813E0,8.938997239E-2,2.363913208E-1,1.818040512E0
2.348777292E0,-1.488620281E0,3.010134771E-2,1.912531406E-1,1.501157619E0
2.358771667E0,-1.178377509E0,1.159952488E-3,1.392755210E-1,1.186580200E0
2.368766667E0,-8.746631145E-1,-6.661248859E-3,8.370595425E-2,8.786845981E-1
2.378761667E0,-5.691772699E-1,-3.065448953E-3,2.534624375E-2,5.697495886E-1
2.388756667E0,-2.587667704E-1,1.168642007E-2,-3.515798226E-2,2.614056189E-1
2.398751667E0,5.482868850E-2,3.352647275E-2,-9.515526891E-2,1.148247998E-1
2.408746667E0,3.631877303E-1,6.309110671E-2,-1.466359049E-1,3.967214436E-1
2.418741667E0,6.619275808E-1,9.640672058E-2,-1.921170950E-1,6.959535590E-1
2.428736667E0,9.548689723E-1,1.206638590E-1,-2.280882895E-1,9.891202095E-1
2.438732667E0,1.233976364E0,1.343421340E-1,-2.469392121E-1,1.265592529E0
2.448727667E0,1.496204376E0,1.296393126E-1,-2.500825822E-1,1.522489798E0
2.458722667E0,1.747627854E0,9.350527823E-2,-2.379523963E-1,1.766229797E0
2.468717667E0,1.985588670E0,2.277329937E-2,-2.063267231E-1,1.996409704E0
2.478712667E0,2.216440439E0,-8.500083536E-2,-1.637315899E-1,2.224104628E0
2.488707667E0,2.443506002E0,-2.243484706E-1,-1.069268361E-1,2.456112206E0
2.498702667E0,2.662123680E0,-3.883560598E-1,-3.770408779E-2,2.690565836E0
2.508697667E0,2.852509022E0,-5.593365431E-1,3.246398270E-2,2.907012040E0
2.518692667E0,3.050292253E0,-7.456262708E-1,1.070993319E-1,3.141928012E0
2.528687667E0,3.223455191E0,-9.204561114E-1,1.776419580E-1,3.357001562E0
2.538682667E0,3.356112719E0,-1.073014259E0,2.282835543E-1,3.530859040E0
2.548677667E0,3.475605965E0,-1.219428658E0,2.695043385E-1,3.693166076E0
2.558672667E0,3.567137480E0,-1.337906599E0,2.922682464E-1,3.820979533E0
2.568667667E0,3.629249096E0,-1.429935575E0,2.930242419E-1,3.911780663E0
2.578662667E0,3.668959856E0,-1.488259315E0,2.748558819E-1,3.968844665E0
2.588657667E0,3.686468840E0,-1.519417524E0,2.321988344E-1,3.994070407E0
2.598652667E0,3.684114695E0,-1.518521070E0,1.698622257E-1,3.988415788E0
2.608647667E0,3.664570332E0,-1.491427183E0,8.631759137E-2,3.957383161E0
2.618642667E0,3.629837275E0,-1.438295245E0,-1.092480775E-2,3.904424568E0
2.628637667E0,3.589675665E0,-1.375291348E0,-1.110659391E-1,3.845716229E0
2.638632667E0,3.538197994E0,-1.299147367E0,-2.154650390E-1,3.775321723E0
2.648627667E0,3.488533735E0,-1.219370365E0,-3.155189157E-1,3.708946467E0
2.658622667E0,3.436997652E0,-1.144187927E0,-4.029284120E-1,3.644786712E0
2.668618667E0,3.390301704E0,-1.076475263E0,-4.734952152E-1,3.588473541E0
2.678613667E0,3.346920252E0,-1.020174384E0,-5.243123174E-1,3.538012769E0
2.688608667E0,3.304814339E0,-9.759715796E-1,-5.540927052E-1,3.490177225E0
2.698603667E0,3.261162281E0,-9.409331679E-1,-5.609601736E-1,3.440234144E0
2.708598667E0,3.210825920E0,-9.162199497E-1,-5.468643308E-1,3.383477897E0
2.718593667E0,3.151664019E0,-8.964939117E-1,-5.128927827E-1,3.316586563E0
2.728588667E0,3.080422163E0,-8.823197484E-1,-4.618824124E-1,3.237410107E0
2.738583667E0,2.996787786E0,-8.701999187E-1,-3.954237700E-1,3.145527761E0
2.748578667E0,2.891319752E0,-8.531913161E-1,-3.204424083E-1,3.031558785E0
2.758573667E0,2.776012182E0,-8.299733996E-1,-2.402719408E-1,2.907375120E0
2.768568667E0,2.642235756E0,-7.954241037E-1,-1.582505256E-1,2.763901685E0
2.778563667E0,2.490503788E0,-7.494528890E-1,-8.025133610E-2,2.602062457E0
2.788558667E0,2.316007853E0,-6.878601909E-1,-7.699917536E-3,2.416009790E0
2.798553667E0,2.123736143E0,-6.140115261E-1,5.799147859E-2,2.211476514E0
2.808548667E0,1.905113816E0,-5.286924839E-1,1.148037165E-1,1.980442953E0
2.818543667E0,1.666377425E0,-4.391346276E-1,1.618479341E-1,1.730851726E0
2.828538667E0,1.405492067E0,-3.469010890E-1,1.956448108E-1,1.460830315E0
2.838533667E0,1.127321959E0,-2.613411844E-1,2.189072520E-1,1.177741227E0
2.848528667E0,8.431158662E-1,-1.754763424E-1,2.288912833E-1,8.910822241E-1
2.858523667E0,5.432620645E-1,-9.776503593E-2,2.287530601E-1,5.975112011E-1
2.868518667E0,2.431435287E-1,-2.134172618E-2,2.218048722E-1,3.298054671E-1
2.878514667E0,-6.782313436E-2,5.031780899E-2,2.033827305E-1,2.202189695E-1
2.888509667E0,-4.147451520E-1,1.291104555E-1,1.747097969E-1,4.681950063E-1
2.898504667E0,-7.053748369E-1,1.953384727E-1,1.460643113E-1,7.463548503E-1
2.908499667E0,-1.019436479E0,2.580772936E-1,1.099319980E-1,1.057326661E0
2.918494667E0,-1.356248021E0,3.118718266E-1,6.642819941E-2,1.393228422E0
2.928489667E0,-1.660417795E0,3.542370796E-1,2.528631315E-2,1.697972485E0
2.938484667E0,-1.957633495E0,3.958836198E-1,-1.438147016E-2,1.997313087E0
2.948479667E0,-2.239465475E0,4.427071214E-1,-4.892054945E-2,2.283328367E0
2.958474667E0,-2.501663208E0,5.011758208E-1,-7.065593451E-2,2.552349559E0
2.968469667E0,-2.739549160E0,5.785102248E-1,-8.183388412E-2,2.801160557E0
2.978464667E0,-2.954887629E0,6.671090722E-1,-8.264694363E-2,3.030383792E0
2.988459667E0,-3.138952971E0,7.617764473E-1,-6.783794612E-2,3.230778713E0
2.998454667E0,-3.291028261E0,8.534659147E-1,-4.064627737E-2,3.400135762E0
3.008449667E0,-3.412586451E0,9.338304400E-1,-1.184092485E-3,3.538048470E0
3.018444667E0,-3.497559786E0,9.943382144E-1,4.830116779E-2,3.636477134E0
3.028439667E0,-3.548955202E0,1.036282778E0,1.061014906E-1,3.698678487E0
3.038434667E0,-3.570202589E0,1.057543278E0,1.703718156E-1,3.727434891E0
3.048429667E0,-3.567100048E0,1.060381651E0,2.400943190E-1,3.729109449E0
3.058424667E0,-3.540832281E0,1.046942592E0,3.089420795E-1,3.705270198E0
3.068419667E0,-3.498466015E0,1.022671819E0,3.707438111E-1,3.663682994E0
3.078415667E0,-3.447918177E0,9.949796796E-1,4.243540168E-1,3.613613240E0
3.088410667E0,-3.396254063E0,9.725225568E-1,4.626814425E-1,3.562922382E0
3.098405667E0,-3.347704649E0,9.555276036E-1,4.831039011E-1,3.514761556E0
3.108400667E0,-3.305215120E0,9.513912201E-1,4.860472083E-1,3.473590957E0
3.118395667E0,-3.274167299E0,9.596145153E-1,4.686644971E-1,3.443933497E0
3.128390667E0,-3.250719547E0,9.775673747E-1,4.310157001E-1,3.421781711E0
3.138385667E0,-3.238700628E0,1.011748672E0,3.795634210E-1,3.414218142E0
3.148380667E0,-3.234164000E0,1.052183509E0,3.087940812E-1,3.415005226E0
